SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
EXCEL, BE, 12-Jun-2019, 1.05, 1.00, 1.05, 1.00, 1.05, 1.05, 1.02, 13547, 0.14, 18, -, -
EXCELCROP, EQ, 12-Jun-2019, 3150.60, 3162.70, 3170.00, 3130.25, 3170.00, 3152.70, 3149.76, 1921, 60.51, 270, 1024, 53.31
EXCELINDUS, EQ, 12-Jun-2019, 986.85, 999.95, 1023.75, 984.50, 1011.00, 1015.65, 997.34, 20042, 199.89, 1104, 15891, 79.29
EXIDEIND, EQ, 12-Jun-2019, 213.45, 212.90, 213.50, 209.50, 209.55, 209.90, 210.67, 686120, 1445.48, 12239, 307280, 44.79
EXPLEOSOL, EQ, 12-Jun-2019, 448.25, 444.00, 450.00, 435.05, 435.05, 439.10, 444.28, 1601, 7.11, 181, 854, 53.34
FACT, EQ, 12-Jun-2019, 43.30, 42.70, 43.00, 42.10, 42.35, 42.30, 42.51, 45091, 19.17, 393, 27033, 59.95
FAIRCHEM, EQ, 12-Jun-2019, 535.40, 535.40, 549.00, 535.40, 548.00, 547.05, 542.35, 10108, 54.82, 474, 8008, 79.22
FCL, EQ, 12-Jun-2019, 36.55, 36.05, 37.10, 36.05, 36.80, 36.60, 36.68, 106776, 39.17, 931, 32811, 30.73
FCONSUMER, EQ, 12-Jun-2019, 42.45, 42.00, 42.30, 40.70, 40.75, 40.95, 41.25, 772378, 318.64, 3650, 523001, 67.71
FCSSOFT, EQ, 12-Jun-2019, 0.20, 0.20, 0.25, 0.20, 0.20, 0.25, 0.22, 203253, 0.45, 111, 111301, 54.76
FDC, EQ, 12-Jun-2019, 181.70, 181.60, 182.40, 177.00, 177.05, 177.90, 179.09, 21115, 37.81, 1144, 11620, 55.03
FEDERALBNK, EQ, 12-Jun-2019, 107.50, 106.60, 107.30, 104.90, 105.35, 105.10, 105.87, 6590977, 6977.94, 33053, 2044094, 31.01
FEL, EQ, 12-Jun-2019, 34.95, 35.00, 35.10, 34.60, 34.60, 34.65, 34.94, 385992, 134.85, 424, 365515, 94.69
FELDVR, EQ, 12-Jun-2019, 33.00, 33.20, 33.60, 32.70, 32.85, 32.95, 33.00, 3788, 1.25, 33, 3100, 81.84
FELIX, SM, 12-Jun-2019, 17.50, 17.00, 17.00, 17.00, 17.00, 17.00, 17.00, 4000, 0.68, 1, 4000, 100.00
FIEMIND, EQ, 12-Jun-2019, 460.50, 459.80, 461.00, 450.00, 454.30, 455.15, 450.67, 55827, 251.60, 407, 52322, 93.72
FILATEX, EQ, 12-Jun-2019, 41.25, 41.80, 42.00, 40.25, 40.35, 40.40, 41.15, 138575, 57.02, 677, 68185, 49.20
FINCABLES, EQ, 12-Jun-2019, 463.80, 463.70, 463.85, 448.00, 453.00, 456.20, 454.66, 52520, 238.79, 5687, 27891, 53.11
FINEORG, EQ, 12-Jun-2019, 1480.05, 1500.00, 1510.00, 1470.00, 1484.00, 1479.10, 1489.78, 4916, 73.24, 979, 3569, 72.60
FINPIPE, EQ, 12-Jun-2019, 514.55, 517.45, 524.00, 501.00, 501.75, 505.40, 513.42, 70047, 359.64, 2592, 28672, 40.93
FLEXITUFF, EQ, 12-Jun-2019, 34.80, 34.00, 36.00, 33.00, 34.60, 33.90, 33.42, 3707, 1.24, 147, 2680, 72.30
FLFL, EQ, 12-Jun-2019, 446.75, 445.20, 451.45, 445.00, 450.00, 450.00, 449.88, 106110, 477.37, 403, 103260, 97.31
FMGOETZE, EQ, 12-Jun-2019, 547.55, 542.10, 543.65, 538.55, 542.00, 541.90, 540.93, 1782, 9.64, 50, 1616, 90.68
FMNL, BE, 12-Jun-2019, 38.45, 38.00, 39.60, 38.00, 38.00, 38.00, 38.02, 8715, 3.31, 30, -, -
FORTIS, EQ, 12-Jun-2019, 132.55, 131.10, 132.40, 129.30, 131.25, 131.15, 130.59, 657288, 858.34, 8110, 395347, 60.15
